City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Bajil,YE,86.99,overcast clouds,15.0584,43.2851,فندق حضرموت
428,Gilgit,PK,77.11,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
430,Imeni Poliny Osipenko,RU,76.44,broken clouds,52.4201,136.4853,Yubileynaya
433,Naifaru,MV,76.87,moderate rain,5.4444,73.3657,Naifaru Residence Guest House
434,Nauta,PE,77.16,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
435,Aden,YE,83.71,clear sky,12.7794,45.0367,Sama Emirate Hotel
437,Saint-Georges,GD,80.38,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
438,Bathsheba,BB,82.06,overcast clouds,13.2167,-59.5167,Atlantis Hotel
439,Thinadhoo,MV,81.46,overcast clouds,0.5333,72.9333,
441,Eston,CA,77.92,scattered clouds,51.1501,-108.7514,Hearthside Place B&B
446,Pemangkat,ID,79.92,overcast clouds,1.1667,108.9667,Ramah Kost KITA
448,Namatanai,PG,84.42,light rain,-3.6667,152.4333,Seagulls Inn Namatani
449,Jiuquan,CN,75.72,scattered clouds,39.7432,98.5174,Jiuquan Hotel
450,Texarkana,US,91.24,clear sky,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
451,Ayorou,NE,81.7,overcast clouds,14.7308,0.9174,Hotel Amenokal
452,Sao Filipe,CV,75.49,few clouds,14.8961,-24.4956,Hotel Xaguate
453,Sulangan,PH,81.95,overcast clouds,11.1373,123.7228,Maia's Beach Resort
455,Bilma,NE,88.34,few clouds,18.6853,12.9164,Expeditions Ténére voyages
456,Escarcega,MX,80.53,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
459,Davila,PH,83.89,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
460,Filingue,NE,80.85,overcast clouds,14.3521,3.3168,
461,Poso,ID,81.34,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
462,Dakoro,NE,76.71,clear sky,14.5106,6.765,Shagon mai liverpool
465,Lamar,US,91.31,clear sky,33.6668,-95.5836,Kings Inn Paris TX
471,Mayor Pablo Lagerenza,PY,75.06,scattered clouds,-19.9309,-60.7718,
472,Golfito,CR,76.01,overcast clouds,8.639,-83.166,Banana Bay Marina
476,Hartselle,US,76.41,overcast clouds,34.4434,-86.9353,Country Cottage-Hartselle
479,Jutai,BR,75.22,overcast clouds,-5.1833,-68.9,
485,Bandarbeyla,SO,76.01,clear sky,9.4942,50.8122,JABIR HOTEL
486,Mangrol,IN,81.05,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
489,Nabire,ID,81.57,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
490,Mahendragarh,IN,81.54,overcast clouds,28.2833,76.15,Yadav Dharamshala
493,Biak,ID,77.99,overcast clouds,-0.9131,122.8766,Penginapan Kim
494,Baruun-Urt,MN,76.3,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
495,Tomatlan,MX,81.66,overcast clouds,19.9333,-105.25,El Salvial
496,Cutlerville,US,76.78,clear sky,42.8409,-85.6636,Hampton Inn Grand Rapids-South
500,Gonbad-E Qabus,IR,78.75,overcast clouds,37.25,55.1672,Samin Building
501,Katobu,ID,79.57,overcast clouds,-4.9408,122.5276,La Ode Husein
502,Nicolas Bravo,MX,76.51,overcast clouds,18.45,-88.9167,
503,Hirara,JP,81.45,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
504,Najran,SA,75.22,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
511,Patiya,BD,80.76,scattered clouds,22.2931,91.9762,Sorry
512,Shimoda,JP,92.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
515,Daru,PG,79.54,broken clouds,-9.0763,143.2092,Daru Lodge
516,Xiuyan,CN,80.87,scattered clouds,40.2928,123.2744,Helin Holiday Hotel
517,Kokopo,PG,86.09,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
518,Qinzhou,CN,87.03,clear sky,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
519,Quzhou,CN,87.67,clear sky,28.9594,118.8686,Quzhou Jiujiu Business Hotel
522,Mackay,AU,75.69,clear sky,-21.15,149.2,International Lodge Motel
525,Mecca,SA,88.59,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
528,Touros,BR,76.51,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
529,Shingu,JP,88.84,broken clouds,33.7333,135.9833,Shingu UI Hotel
530,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
532,Meulaboh,ID,77.68,overcast clouds,4.1363,96.1285,Kost Pria
533,Maningrida,AU,82.63,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
541,Jalu,LY,82.02,clear sky,29.0331,21.5482,صاحبة الفخامة
545,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
546,Adrar,MR,92.59,few clouds,20.5022,-10.0711,
553,Rongcheng,CN,87.06,clear sky,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
554,Lazaro Cardenas,MX,82.8,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
555,Isangel,VU,75.76,overcast clouds,-19.55,169.2667,Tanna Lodge
556,Ryotsu,JP,87.21,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
557,Bozdar,PK,86.31,scattered clouds,27.1828,68.636,Hadi Hassan Shah Stop
558,Ust-Maya,RU,83.84,overcast clouds,60.4167,134.5333,
559,El Dorado,US,89.85,few clouds,38.7666,-120.5177,South Fork Group Campground
563,Rosarito,MX,81.66,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
565,Zabaykalsk,RU,78.12,clear sky,49.6333,117.3167,Zheleznyy Mir
566,Srednekolymsk,RU,76.28,overcast clouds,67.45,153.6833,
