City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Cidreira,BR,-30.1811,-50.2056,58.66,89,3,9.53,clear sky
190,Vysha,RU,53.8477,42.3777,55.8,74,96,5.28,overcast clouds
191,Vega De Alatorre,MX,20.0333,-96.6333,80.53,75,96,3.6,overcast clouds
192,Qasigiannguit,GL,68.8193,-51.1922,37.33,96,86,3.78,overcast clouds
193,Brylivka,UA,46.4248,33.1472,71.73,49,100,4.94,overcast clouds
194,Necochea,AR,-38.5473,-58.7368,50.68,80,99,7.45,overcast clouds
195,Dikson,RU,73.5069,80.5464,41.25,94,100,9.55,overcast clouds
196,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.98,84,7,9.71,clear sky
197,Komsomolskiy,UZ,40.4272,71.7189,75.92,38,36,2.3,scattered clouds
198,Svetlogorsk,BY,52.6333,29.7333,58.82,82,77,7.0,broken clouds
199,Nemuro,JP,43.3236,145.575,59.14,86,100,8.77,moderate rain
200,Viedma,AR,-40.8135,-62.9967,45.23,70,100,6.85,overcast clouds
201,Georgetown,MY,5.4112,100.3354,81.9,87,40,1.14,thunderstorm
202,Hays,US,30.0502,-98.0336,96.71,34,100,4.0,overcast clouds
203,Chakia,IN,26.4167,85.05,83.61,77,100,2.26,overcast clouds
204,Price,US,39.5994,-110.8107,89.11,37,64,1.25,broken clouds
205,Hasaki,JP,35.7333,140.8333,93.29,69,100,4.63,overcast clouds
206,Tombouctou,ML,20.0,-3.0,93.13,31,69,4.76,broken clouds
207,Alta Floresta,BR,-9.8756,-56.0861,76.35,39,12,2.26,few clouds
208,San Lawrenz,MT,36.0553,14.204,78.85,87,0,4.25,clear sky
209,Cayenne,GF,4.9333,-52.3333,83.08,1,94,0.0,overcast clouds
210,Fasa,IR,28.9383,53.6482,72.64,88,0,0.0,clear sky
211,Alvarado,MX,18.7667,-95.7667,82.06,73,100,6.76,overcast clouds
212,Cam Ranh,VN,11.9214,109.1591,84.16,70,0,3.44,clear sky
213,Comrat,MD,46.3003,28.6572,66.13,91,100,2.35,overcast clouds
214,San Ramon,US,37.7799,-121.978,82.62,64,13,4.0,few clouds
215,Dali,CN,25.7,100.1833,62.64,96,100,1.57,overcast clouds
216,Buin,CL,-33.7333,-70.75,54.73,80,100,2.66,overcast clouds
217,Koppies,ZA,-27.2418,27.5742,47.41,62,8,12.93,clear sky
218,Saskylakh,RU,71.9167,114.0833,45.64,77,100,10.36,overcast clouds
219,Quatre Cocos,MU,-20.2078,57.7625,68.11,68,39,11.95,scattered clouds
220,Le Pont-De-Claix,FR,45.1244,5.7064,75.06,72,0,2.53,clear sky
221,Lasa,IT,46.6166,10.7002,59.36,88,0,4.32,clear sky
222,Nome,US,64.5011,-165.4064,58.15,78,100,8.19,overcast clouds
223,Gogrial,SS,8.5332,28.1004,69.96,95,57,4.32,broken clouds
224,Yingcheng,CN,30.95,113.55,83.77,71,0,3.36,clear sky
225,Loreto,MX,22.2667,-101.9667,68.77,48,88,6.38,overcast clouds
226,Makakilo City,US,21.3469,-158.0858,84.56,52,40,14.97,scattered clouds
227,Aykhal,RU,66.0,111.5,54.36,93,100,14.29,overcast clouds
228,Palmer,US,42.1584,-72.3287,76.21,76,100,4.76,overcast clouds
229,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,48,0,4.61,clear sky
230,Rosario,AR,-32.9468,-60.6393,60.94,67,0,6.91,clear sky
231,Richards Bay,ZA,-28.783,32.0377,60.35,75,100,9.55,overcast clouds
232,Sjovegan,NO,68.8726,17.8474,58.21,92,98,2.15,overcast clouds
233,Nanchang,CN,28.6833,115.8833,89.96,52,0,3.89,clear sky
234,Leningradskiy,RU,69.3833,178.4167,51.37,64,49,8.19,scattered clouds
235,Tilichiki,RU,60.4667,166.1,56.53,63,19,7.2,few clouds
236,Vostochnyy,RU,55.8167,37.8667,62.87,73,15,4.12,few clouds
237,Baturaja,ID,-4.1333,104.1667,76.78,91,56,2.73,broken clouds
238,Yar-Sale,RU,66.8333,70.8333,51.48,70,5,6.8,clear sky
239,Nalut,LY,30.3333,10.85,80.91,35,2,10.54,clear sky
240,San Patricio,US,28.017,-97.5169,90.54,60,100,14.14,overcast clouds
241,Lokosovo,RU,61.1333,74.8167,52.7,72,6,10.04,clear sky
242,Chilca,PE,-12.5211,-76.7372,60.19,85,92,6.76,overcast clouds
243,That Phanom,TH,16.9364,104.7104,77.02,92,100,2.59,overcast clouds
244,Batagay,RU,67.6333,134.6333,79.72,43,100,10.51,overcast clouds
245,Shawnee,US,39.05,-95.7669,88.95,75,7,1.99,clear sky
246,Paraiso,CR,9.8383,-83.8656,70.66,96,66,3.29,broken clouds
247,Tirat Karmel,IL,32.7617,34.9719,70.63,77,0,3.76,clear sky
248,San Cristobal,VE,7.7669,-72.225,69.98,99,100,1.79,overcast clouds
249,Ginda,IN,30.6945,78.4932,64.85,87,29,2.86,scattered clouds
250,Dongning,CN,44.0622,131.1207,75.15,96,100,2.06,overcast clouds
251,Araouane,ML,18.9048,-3.5265,91.83,35,58,10.07,broken clouds
252,Yueyang,CN,29.3333,113.0919,87.55,60,0,3.62,clear sky
253,Tubuala,PA,9.5167,-79.0333,80.31,85,95,6.08,overcast clouds
254,Bang Saphan,TH,11.2126,99.5117,79.61,89,100,4.23,overcast clouds
255,Fuerte Olimpo,PY,-21.0415,-57.8738,78.44,38,100,5.17,overcast clouds
256,Qaanaaq,GL,77.484,-69.3632,44.74,64,100,2.48,overcast clouds
257,New Norfolk,AU,-42.7826,147.0587,50.92,82,99,4.0,overcast clouds
258,Bintulu,MY,3.1667,113.0333,77.41,94,20,3.44,few clouds
259,Teluk Nibung,ID,3.001,99.8164,76.87,93,100,4.72,heavy intensity rain
260,Izhma,RU,65.0083,53.9113,62.17,53,100,7.36,overcast clouds
261,Salur,IN,18.5333,83.2167,81.19,84,100,0.72,overcast clouds
262,Saint-Joseph,RE,-21.3667,55.6167,66.58,79,26,9.46,scattered clouds
263,Marsa Matruh,EG,31.3525,27.2453,77.2,88,0,10.36,clear sky
264,Sitka,US,57.0531,-135.33,57.09,88,100,6.91,light rain
265,Ilhabela,BR,-23.7781,-45.3581,63.46,82,7,6.4,clear sky
266,Guiglo,CI,6.5456,-7.4966,71.65,91,100,4.12,overcast clouds
267,Broken Hill,AU,-31.95,141.4333,53.71,48,0,6.6,clear sky
268,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.51,86,86,1.43,overcast clouds
269,Torbay,CA,47.6666,-52.7314,68.77,77,20,17.27,few clouds
270,Cueto,CU,20.6439,-75.9356,79.75,84,16,12.8,few clouds
271,Bonavista,CA,48.6499,-53.1147,63.23,80,88,5.79,overcast clouds
272,Kananga,CD,-5.8958,22.4178,73.29,52,82,3.42,broken clouds
273,Nichinan,JP,31.6,131.3667,85.68,91,100,13.44,overcast clouds
274,Afsin,TR,38.2477,36.914,66.7,42,0,3.22,clear sky
275,Novyy Urengoy,RU,66.0833,76.6333,50.47,65,0,14.72,clear sky
276,Chokurdakh,RU,70.6333,147.9167,67.87,61,100,10.47,overcast clouds
277,Palm Bay,US,28.0345,-80.5887,85.06,82,14,3.0,few clouds
278,Mayumba,GA,-3.432,10.6554,69.67,96,100,6.2,overcast clouds
279,Xuddur,SO,4.1213,43.8894,68.41,84,0,19.1,clear sky
280,Vanimo,PG,-2.6741,141.3028,85.14,67,100,6.6,overcast clouds
281,Huicheng,CN,23.0385,116.2899,88.0,67,92,11.32,overcast clouds
282,Xam Nua,LA,20.4197,104.0439,71.29,94,98,0.4,overcast clouds
283,Beidao,CN,34.5686,105.8933,81.12,57,14,14.23,few clouds
284,Fare,PF,-16.7,-151.0167,78.37,72,5,24.29,light rain
285,Parvatsar,IN,26.8833,74.7667,77.36,86,100,12.57,overcast clouds
286,Lata,PT,40.1629,-8.3327,70.09,56,0,3.44,clear sky
287,Tapes,BR,-30.6733,-51.3958,53.4,89,0,1.39,clear sky
288,Yaan,NG,7.3833,8.5667,71.24,97,100,8.55,overcast clouds
289,Rajula,IN,21.05,71.4333,79.11,82,35,8.28,scattered clouds
290,Santa Cruz De La Palma,ES,28.6835,-17.7642,73.54,78,75,17.27,broken clouds
291,Naze,JP,28.3667,129.4833,81.52,83,100,20.76,overcast clouds
292,Kirakira,SB,-10.4544,161.9205,84.54,72,18,12.12,few clouds
293,San Vicente,AR,-26.6167,-54.1333,52.77,62,0,1.72,clear sky
294,Alekseyevsk,RU,57.8406,108.3492,64.76,91,95,4.23,overcast clouds
295,Namibe,AO,-15.1961,12.1522,56.93,80,4,10.58,clear sky
296,Visby,SE,57.6409,18.296,48.42,100,25,0.0,scattered clouds
297,Redlands,US,34.0556,-117.1825,93.85,40,23,5.99,few clouds
298,Nelson Bay,AU,-32.7167,152.15,60.01,84,100,7.0,light rain
299,Riyadh,SA,24.6877,46.7219,87.94,74,100,13.65,light rain
300,Ascension,US,30.2169,-90.9001,86.05,79,0,0.0,clear sky
301,Bulungu,CD,-4.55,18.6,75.61,44,0,2.86,clear sky
302,Flin Flon,CA,54.7682,-101.865,64.06,67,97,4.38,overcast clouds
303,Saint-Pierre,RE,-21.3393,55.4781,67.68,64,0,8.05,clear sky
304,Parabel,RU,58.6978,81.4825,53.15,72,100,13.13,overcast clouds
305,Fukuma,JP,33.7667,130.4667,93.2,56,31,8.08,scattered clouds
306,Plouzane,FR,48.3833,-4.6167,62.92,97,100,5.75,mist
307,Nanortalik,GL,60.1432,-45.2371,46.54,92,71,6.53,broken clouds
308,Saint-Augustin,CA,51.226,-58.6502,66.54,65,74,9.24,broken clouds
309,Yibin,CN,28.7667,104.6238,81.52,85,98,2.77,overcast clouds
310,Nouakchott,MR,18.0858,-15.9785,82.33,82,13,11.39,few clouds
311,Pisco,PE,-13.7,-76.2167,60.85,82,100,9.22,overcast clouds
312,Xai-Xai,MZ,-25.0519,33.6442,68.97,79,99,17.94,light rain
313,Bengkulu,ID,-3.8004,102.2655,77.85,82,83,3.04,broken clouds
314,Kerema,PG,-7.9631,145.7785,82.72,74,23,6.02,few clouds
315,Busia,UG,0.4544,34.0758,61.07,88,37,2.98,scattered clouds
316,Ahuimanu,US,21.4447,-157.8378,85.75,62,1,8.99,clear sky
317,Mayo,US,38.8876,-76.5119,74.14,91,100,5.75,moderate rain
318,Leshukonskoye,RU,64.8989,45.7622,57.78,97,100,2.28,overcast clouds
319,San Nicolas,PH,18.1725,120.5953,84.11,74,75,3.44,broken clouds
320,Caravelas,BR,-17.7125,-39.2481,69.84,90,81,7.72,broken clouds
321,Saint-Paul-Les-Dax,FR,43.7272,-1.0516,70.77,96,5,4.61,clear sky
322,Areia Branca,BR,-4.9561,-37.1369,76.17,81,40,17.31,scattered clouds
323,Lubango,AO,-14.9172,13.4925,49.37,69,5,4.29,clear sky
324,Laguna,US,38.421,-121.4238,90.97,50,75,5.01,broken clouds
325,Palana,RU,59.1167,159.9667,54.86,67,3,6.69,clear sky
326,Nuuk,GL,64.1835,-51.7216,47.88,76,90,11.01,overcast clouds
327,Mount Isa,AU,-20.7333,139.5,76.77,23,0,6.91,clear sky
328,Kutum,SD,14.2,24.6667,68.14,79,100,14.54,overcast clouds
329,Black River,JM,18.0264,-77.8487,82.94,71,5,5.57,clear sky
330,Plettenberg Bay,ZA,-34.0527,23.3716,48.83,71,0,4.83,clear sky
331,Senanga,ZM,-16.1167,23.2667,54.88,33,0,6.13,clear sky
332,Umm Kaddadah,SD,13.6017,26.6876,76.96,66,100,16.33,light rain
333,Barreirinhas,BR,-2.7469,-42.8264,76.96,88,100,9.98,overcast clouds
334,Henties Bay,NA,-22.116,14.2845,54.09,72,94,5.37,overcast clouds
335,Maiduguri,NG,11.8464,13.1603,79.93,66,100,7.67,overcast clouds
336,Severo-Yeniseyskiy,RU,60.3725,93.0408,50.97,85,100,5.35,overcast clouds
337,Tual,ID,-5.6667,132.75,79.32,84,100,17.65,overcast clouds
338,Havoysund,NO,70.9963,24.6622,57.43,86,33,5.5,scattered clouds
339,Paita,PE,-5.0892,-81.1144,62.85,85,6,14.88,clear sky
340,Camacari,BR,-12.6975,-38.3242,76.77,89,1,5.68,clear sky
341,Buraydah,SA,26.326,43.975,88.25,51,98,12.82,overcast clouds
342,Borzna,UA,51.2546,32.4269,60.84,69,6,8.68,clear sky
343,Wuda,CN,39.4994,106.7117,80.37,57,19,19.77,few clouds
344,Tarija,BO,-21.5355,-64.7296,58.91,55,0,0.0,clear sky
345,Yanam,IN,16.7333,82.2167,80.13,89,100,2.48,overcast clouds
